param_name,layer_num,component,param_count,relative_l2_diff
layers.19.input_layernorm.weight,19,norm,2048,0.0
layers.5.self_attn.o_proj.weight,5,attention,4194304,0.0006936533562678329
layers.1.self_attn.v_proj.weight,1,attention,524288,0.0007839947284534645
layers.34.input_layernorm.weight,34,norm,2048,0.0
layers.12.self_attn.q_proj.weight,12,attention,4194304,0.000529381620884749
layers.10.self_attn.k_proj.weight,10,attention,524288,0.0005241208072399
layers.17.self_attn.q_proj.weight,17,attention,4194304,0.0006217237501395788
layers.34.self_attn.q_proj.weight,34,attention,4194304,0.000744935146936048
layers.7.self_attn.v_proj.weight,7,attention,524288,0.0005448571149172926
layers.27.post_attention_layernorm.weight,27,attention,2048,7.648710943206026e-08
layers.26.self_attn.q_proj.weight,26,attention,4194304,0.000625774022416779
layers.29.post_attention_layernorm.weight,29,attention,2048,1.0753273702715248e-08
layers.18.input_layernorm.weight,18,norm,2048,7.090717575425922e-07
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.0005996156653718611
layers.17.self_attn.k_proj.bias,17,attention,256,1.2423936167891158e-05
layers.4.self_attn.k_proj.weight,4,attention,524288,0.0003661027757583153
layers.20.self_attn.o_proj.weight,20,attention,4194304,0.0006664826596831027
layers.21.mlp.down_proj.weight,21,ffn,22544384,0.0006247686859256911
layers.8.self_attn.v_proj.bias,8,attention,256,0.0004964388012793411
layers.19.post_attention_layernorm.weight,19,attention,2048,7.771404656271379e-08
layers.31.mlp.up_proj.weight,31,ffn,22544384,0.0005269582482358611
layers.18.mlp.up_proj.weight,18,ffn,22544384,0.0005787780474612261
layers.25.mlp.gate_proj.weight,25,ffn,22544384,0.0006264562426779797
layers.11.input_layernorm.weight,11,norm,2048,1.4080837189145048e-06
layers.13.mlp.down_proj.weight,13,ffn,22544384,0.0005411551147427771
layers.8.input_layernorm.weight,8,norm,2048,1.3805486787575839e-06
layers.23.self_attn.k_proj.weight,23,attention,524288,0.0005129107773142536
layers.33.self_attn.q_proj.bias,33,attention,2048,3.7507379337697787e-06
layers.19.mlp.up_proj.weight,19,ffn,22544384,0.0005878945795061658
layers.19.mlp.down_proj.weight,19,ffn,22544384,0.0006128536220477508
layers.25.mlp.down_proj.weight,25,ffn,22544384,0.0006204955462346087
layers.9.input_layernorm.weight,9,norm,2048,1.663967225896656e-06
layers.16.mlp.down_proj.weight,16,ffn,22544384,0.0005922552765415725
layers.10.mlp.up_proj.weight,10,ffn,22544384,0.0005661010260547898
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.000588767286360857
layers.3.post_attention_layernorm.weight,3,attention,2048,1.2920623252140788e-07
layers.15.mlp.up_proj.weight,15,ffn,22544384,0.0005244285086772205
layers.22.self_attn.v_proj.bias,22,attention,256,0.00027206424196242533
layers.7.post_attention_layernorm.weight,7,attention,2048,4.5243600470453316e-07
layers.23.post_attention_layernorm.weight,23,attention,2048,8.695082337484365e-08
layers.1.post_attention_layernorm.weight,1,attention,2048,1.844214310596212e-06
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0005592652234478104
layers.8.mlp.gate_proj.weight,8,ffn,22544384,0.00043447898207374364
layers.2.mlp.gate_proj.weight,2,ffn,22544384,0.0008157833781059432
layers.5.post_attention_layernorm.weight,5,attention,2048,9.20008795944121e-07
norm.weight,-1,norm,2048,0.0
layers.30.self_attn.q_proj.weight,30,attention,4194304,0.0006556245602515754
layers.6.self_attn.k_proj.bias,6,attention,256,9.09439050940899e-06
layers.11.mlp.up_proj.weight,11,ffn,22544384,0.0005578233763963447
layers.2.self_attn.k_proj.bias,2,attention,256,0.0
layers.2.self_attn.k_proj.weight,2,attention,524288,0.000346641979478099
