param_name,layer_num,component,param_count,relative_l2_diff
layers.11.self_attn.k_proj.bias,11,attention,256,7.276670804584403e-06
layers.33.mlp.down_proj.weight,33,ffn,22544384,0.0005228327261034897
layers.18.self_attn.v_proj.weight,18,attention,524288,0.0006007041722713387
layers.14.post_attention_layernorm.weight,14,attention,2048,4.911879783720524e-07
layers.21.post_attention_layernorm.weight,21,attention,2048,9.761736750860227e-07
layers.12.self_attn.v_proj.weight,12,attention,524288,0.000525784831002847
layers.17.self_attn.q_proj.bias,17,attention,2048,2.7025089923247236e-06
layers.12.mlp.gate_proj.weight,12,ffn,22544384,0.0004504517529379734
layers.13.self_attn.q_proj.bias,13,attention,2048,3.351130203405929e-06
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0005228241446001939
layers.17.mlp.gate_proj.weight,17,ffn,22544384,0.0005728317892523591
layers.1.self_attn.o_proj.weight,1,attention,4194304,0.000612013387995468
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.0006154732790152589
layers.35.mlp.down_proj.weight,35,ffn,22544384,0.0006224307974032849
layers.5.self_attn.k_proj.weight,5,attention,524288,0.00043350497792948617
layers.21.mlp.up_proj.weight,21,ffn,22544384,0.0005884790381676754
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.0005145964127396766
layers.20.self_attn.v_proj.bias,20,attention,256,0.00015388402259565976
layers.32.post_attention_layernorm.weight,32,attention,2048,5.081077877575555e-07
layers.13.mlp.up_proj.weight,13,ffn,22544384,0.0005219398338016202
layers.14.self_attn.o_proj.weight,14,attention,4194304,0.0006063695395862998
layers.5.self_attn.q_proj.bias,5,attention,2048,2.3404737496700355e-06
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0006308459599638052
layers.20.self_attn.k_proj.weight,20,attention,524288,0.000660475336019721
layers.3.self_attn.q_proj.bias,3,attention,2048,3.177108207365306e-06
layers.35.self_attn.k_proj.bias,35,attention,256,0.0
layers.3.self_attn.q_proj.weight,3,attention,4194304,0.000460848529731815
layers.19.mlp.gate_proj.weight,19,ffn,22544384,0.0006048159620940818
layers.10.post_attention_layernorm.weight,10,attention,2048,8.287239534539075e-07
layers.5.self_attn.k_proj.bias,5,attention,256,2.1344846142976653e-05
layers.3.mlp.up_proj.weight,3,ffn,22544384,0.0005651162393398362
layers.31.self_attn.k_proj.weight,31,attention,524288,0.0008184924315800895
layers.30.mlp.gate_proj.weight,30,ffn,22544384,0.0005955002730889025
layers.34.post_attention_layernorm.weight,34,attention,2048,1.3890034346649178e-07
layers.10.input_layernorm.weight,10,norm,2048,8.484890847955154e-07
layers.27.mlp.down_proj.weight,27,ffn,22544384,0.0005936300769545263
layers.24.self_attn.q_proj.weight,24,attention,4194304,0.0006199244102709927
layers.5.mlp.gate_proj.weight,5,ffn,22544384,0.0005370651683164407
layers.20.mlp.up_proj.weight,20,ffn,22544384,0.0005773020145236616
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.0005469380368134974
layers.15.self_attn.k_proj.bias,15,attention,256,7.641886130389085e-06
layers.15.post_attention_layernorm.weight,15,attention,2048,2.699337430667394e-08
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.000557192335958985
layers.30.self_attn.q_proj.bias,30,attention,2048,2.639003822007979e-06
layers.33.mlp.up_proj.weight,33,ffn,22544384,0.0005065440840803842
layers.22.post_attention_layernorm.weight,22,attention,2048,6.986889124881468e-07
layers.14.mlp.down_proj.weight,14,ffn,22544384,0.0005598291279349266
layers.18.self_attn.v_proj.bias,18,attention,256,0.0002774084826904889
layers.6.self_attn.o_proj.weight,6,attention,4194304,0.0005864896066713938
layers.4.mlp.up_proj.weight,4,ffn,22544384,0.0007509482936383806
layers.30.self_attn.k_proj.weight,30,attention,524288,0.0008464342514377456
layers.0.self_attn.k_proj.bias,0,attention,256,0.0
layers.21.mlp.gate_proj.weight,21,ffn,22544384,0.0005751989811384113
layers.11.self_attn.q_proj.bias,11,attention,2048,2.124890852210965e-06
layers.28.self_attn.k_proj.bias,28,attention,256,5.276184301958393e-06
layers.33.post_attention_layernorm.weight,33,attention,2048,6.913354340391736e-07
layers.21.self_attn.o_proj.weight,21,attention,4194304,0.000671564779219677
layers.29.input_layernorm.weight,29,norm,2048,2.5573955782928053e-07
layers.7.self_attn.q_proj.bias,7,attention,2048,2.896256135764508e-06
layers.32.input_layernorm.weight,32,norm,2048,0.0
layers.13.self_attn.v_proj.bias,13,attention,256,0.000110849126197572
layers.23.self_attn.o_proj.weight,23,attention,4194304,0.0007374271202740632
layers.34.self_attn.q_proj.bias,34,attention,2048,2.24858510788119e-06
layers.13.input_layernorm.weight,13,norm,2048,0.0
layers.28.mlp.gate_proj.weight,28,ffn,22544384,0.0005798892414775096
layers.8.self_attn.k_proj.weight,8,attention,524288,0.0004346294649398281
layers.16.self_attn.k_proj.bias,16,attention,256,2.4152527935594527e-06
layers.11.self_attn.v_proj.weight,11,attention,524288,0.0005055598886199378
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0005920851661157899
layers.5.input_layernorm.weight,5,norm,2048,9.750480738703625e-07
layers.18.self_attn.q_proj.weight,18,attention,4194304,0.00056386844857369
layers.34.self_attn.v_proj.bias,34,attention,256,1.7730547158321967e-06
layers.18.self_attn.q_proj.bias,18,attention,2048,3.285593175823501e-06
layers.8.self_attn.q_proj.weight,8,attention,4194304,0.0004937475169830676
layers.10.self_attn.v_proj.weight,10,attention,524288,0.0005171429860211976
layers.31.mlp.down_proj.weight,31,ffn,22544384,0.0005597419207684765
layers.9.self_attn.q_proj.bias,9,attention,2048,2.807882425737286e-06
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.0006253567669668354
layers.34.mlp.up_proj.weight,34,ffn,22544384,0.0005093005124531566
layers.25.post_attention_layernorm.weight,25,attention,2048,9.349284851106872e-07
layers.20.self_attn.q_proj.bias,20,attention,2048,2.639344927655755e-06
layers.22.self_attn.k_proj.bias,22,attention,256,7.622844922264418e-06
layers.17.self_attn.o_proj.weight,17,attention,4194304,0.0006818871853924671
layers.33.self_attn.k_proj.bias,33,attention,256,5.632668345737209e-06
layers.32.mlp.up_proj.weight,32,ffn,22544384,0.0005171757474989689
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.0006124591875371921
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.000612641030170578
layers.12.mlp.down_proj.weight,12,ffn,22544384,0.0005896510353003249
layers.8.self_attn.o_proj.weight,8,attention,4194304,0.0005674999540922957
layers.21.self_attn.v_proj.weight,21,attention,524288,0.0006392774055591709
layers.20.mlp.gate_proj.weight,20,ffn,22544384,0.0005950603321972006
layers.7.self_attn.q_proj.weight,7,attention,4194304,0.0005322646141229621
layers.22.input_layernorm.weight,22,norm,2048,2.0507894789744843e-07
layers.28.self_attn.v_proj.bias,28,attention,256,0.00015611106156451164
layers.35.self_attn.v_proj.weight,35,attention,524288,0.0003923927182289308
layers.15.self_attn.k_proj.weight,15,attention,524288,0.0004833174833199704
layers.24.mlp.down_proj.weight,24,ffn,22544384,0.0006346001261979095
layers.25.self_attn.k_proj.weight,25,attention,524288,0.000846746484200645
layers.19.self_attn.v_proj.bias,19,attention,256,0.00027620961148807076
layers.17.self_attn.v_proj.weight,17,attention,524288,0.0006790194842434772
layers.29.self_attn.q_proj.weight,29,attention,4194304,0.0006721092898292341
layers.9.mlp.gate_proj.weight,9,ffn,22544384,0.00042646380213291394
layers.3.input_layernorm.weight,3,norm,2048,2.9472964277842293e-06
layers.29.self_attn.k_proj.weight,29,attention,524288,0.0007754573858327313
layers.35.mlp.up_proj.weight,35,ffn,22544384,0.000531958137489526
layers.16.input_layernorm.weight,16,norm,2048,1.3865828192168435e-07
layers.0.post_attention_layernorm.weight,0,attention,2048,9.020993135744112e-06
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.0005822377475437794
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0006472001295191671
layers.25.self_attn.k_proj.bias,25,attention,256,1.5493579934157322e-06
layers.16.self_attn.o_proj.weight,16,attention,4194304,0.0006174813111966386
layers.34.self_attn.k_proj.bias,34,attention,256,1.6347844522832494e-06
layers.26.self_attn.v_proj.bias,26,attention,256,0.00029009509310998227
layers.33.self_attn.v_proj.bias,33,attention,256,1.7637991584438085e-05
layers.7.self_attn.k_proj.bias,7,attention,256,8.10506728518845e-06
layers.0.self_attn.k_proj.weight,0,attention,524288,0.00019857240952108292
layers.12.input_layernorm.weight,12,norm,2048,3.519351860367715e-07
layers.4.input_layernorm.weight,4,norm,2048,3.924509242067259e-06
layers.16.mlp.gate_proj.weight,16,ffn,22544384,0.0005437216144128767
