param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.21.self_attn.k_proj.weight,21,attention,524288,0.15472234862345266,2
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.12987798796951244,2
layers.34.self_attn.o_proj.weight,34,attention,4194304,0.1448079552335672,2
layers.27.post_attention_layernorm.weight,27,attention,2048,0.005945358092940037,2
layers.2.self_attn.k_proj.bias,2,attention,256,0.004476770271747293,2
layers.35.mlp.gate_proj.weight,35,ffn,22544384,0.17432756918477396,2
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.15266786052331047,2
layers.15.input_layernorm.weight,15,norm,2048,0.005440586334506407,2
layers.21.self_attn.k_proj.bias,21,attention,256,0.007661936781326465,2
layers.10.self_attn.v_proj.weight,10,attention,524288,0.14070484399951524,2
layers.21.mlp.up_proj.weight,21,ffn,22544384,0.17185741117679168,2
layers.32.mlp.down_proj.weight,32,ffn,22544384,0.16440916272671696,2
layers.24.self_attn.v_proj.bias,24,attention,256,0.048668344449453955,2
layers.10.self_attn.q_proj.bias,10,attention,2048,0.002029949647533308,2
layers.15.self_attn.o_proj.weight,15,attention,4194304,0.14515583313011968,2
layers.28.self_attn.k_proj.bias,28,attention,256,0.008128654520400827,2
layers.22.mlp.down_proj.weight,22,ffn,22544384,0.18210238792167086,2
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.15783635893129563,2
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.16344381145257275,2
layers.22.self_attn.k_proj.bias,22,attention,256,0.012656969589430958,2
embed_tokens.weight,-1,embedding,311164928,0.1150885177647293,2
layers.12.mlp.up_proj.weight,12,ffn,22544384,0.1394520780065227,2
layers.23.self_attn.q_proj.weight,23,attention,4194304,0.1831181096729451,2
layers.9.self_attn.v_proj.weight,9,attention,524288,0.1437333995700598,2
layers.1.mlp.gate_proj.weight,1,ffn,22544384,0.08534787284853824,2
layers.7.self_attn.o_proj.weight,7,attention,4194304,0.16362441029919036,2
layers.23.mlp.down_proj.weight,23,ffn,22544384,0.1852365997062558,2
layers.20.post_attention_layernorm.weight,20,attention,2048,0.00733453463299426,2
layers.30.self_attn.o_proj.weight,30,attention,4194304,0.16292366864519978,2
layers.8.input_layernorm.weight,8,norm,2048,0.005958293604474598,2
layers.30.post_attention_layernorm.weight,30,attention,2048,0.005732162453662998,2
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.176626042885206,2
layers.14.mlp.down_proj.weight,14,ffn,22544384,0.14972794624136335,2
layers.23.self_attn.v_proj.weight,23,attention,524288,0.16178006242033866,2
layers.34.input_layernorm.weight,34,norm,2048,0.004226811980766802,2
layers.14.post_attention_layernorm.weight,14,attention,2048,0.008492521612842727,2
layers.34.self_attn.k_proj.weight,34,attention,524288,0.21862859021225703,2
layers.31.input_layernorm.weight,31,norm,2048,0.0070134113559759395,2
layers.11.mlp.up_proj.weight,11,ffn,22544384,0.1429886368406683,2
layers.24.self_attn.v_proj.weight,24,attention,524288,0.13855687314478665,2
layers.20.input_layernorm.weight,20,norm,2048,0.004125346334446942,2
layers.0.self_attn.o_proj.weight,0,attention,4194304,0.14730484227202495,2
layers.12.mlp.down_proj.weight,12,ffn,22544384,0.14476961927929677,2
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.14842829903982244,2
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.16290062310571374,2
layers.4.self_attn.q_proj.bias,4,attention,2048,0.0019867464176337624,2
layers.16.self_attn.v_proj.weight,16,attention,524288,0.1390228530499966,2
layers.13.post_attention_layernorm.weight,13,attention,2048,0.009221469432088106,2
layers.10.self_attn.k_proj.weight,10,attention,524288,0.14495185719898962,2
layers.27.self_attn.v_proj.bias,27,attention,256,0.021633628707427893,2
norm.weight,-1,norm,2048,0.0016269787951084611,2
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.1364410057777559,2
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.17240981127867616,2
layers.8.self_attn.k_proj.bias,8,attention,256,0.012347327382404542,2
