param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0015522548696149964,9
layers.34.self_attn.k_proj.bias,34,attention,256,1.0209225599318769e-05,9
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0014596325469918067,9
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.0014737037561167465,9
layers.0.self_attn.k_proj.weight,0,attention,524288,0.000488313249957238,9
layers.11.post_attention_layernorm.weight,11,attention,2048,1.191892447494019e-06,9
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0012356664810623226,9
layers.8.self_attn.q_proj.bias,8,attention,2048,4.075627696949237e-06,9
layers.23.self_attn.k_proj.bias,23,attention,256,1.895668582318475e-05,9
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.0013611981379351842,9
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0016527884929645365,9
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0013680768528679028,9
layers.35.self_attn.q_proj.bias,35,attention,2048,9.818646257567971e-06,9
layers.2.input_layernorm.weight,2,norm,2048,1.2723798134620747e-05,9
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.0013658072509124724,9
layers.16.self_attn.q_proj.bias,16,attention,2048,7.823120046412741e-06,9
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0015022592796546392,9
layers.30.self_attn.k_proj.bias,30,attention,256,2.045074203735396e-05,9
layers.8.self_attn.k_proj.weight,8,attention,524288,0.0011232735495189106,9
layers.30.self_attn.v_proj.bias,30,attention,256,0.00015443551309375755,9
layers.9.self_attn.k_proj.bias,9,attention,256,2.7040092513048585e-05,9
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.001695392950184956,9
layers.16.self_attn.v_proj.bias,16,attention,256,0.0005979923590076345,9
layers.18.self_attn.q_proj.bias,18,attention,2048,9.012607893454559e-06,9
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.001457314543912619,9
layers.33.input_layernorm.weight,33,norm,2048,1.0727027377619292e-06,9
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0016418479916479268,9
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.001493769090000814,9
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.0014921856170129193,9
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.0016341200883292183,9
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.0016021666580796011,9
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0011651764615230274,9
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.0015452201834635203,9
layers.4.input_layernorm.weight,4,norm,2048,5.0795236075994435e-06,9
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0016868681933902585,9
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0012599686239854932,9
layers.34.self_attn.v_proj.bias,34,attention,256,8.549359858229289e-06,9
layers.20.self_attn.k_proj.weight,20,attention,524288,0.0016939658797680928,9
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.0015286087482845087,9
layers.35.input_layernorm.weight,35,norm,2048,0.0,9
layers.23.self_attn.q_proj.bias,23,attention,2048,1.0344719826874466e-05,9
layers.4.post_attention_layernorm.weight,4,attention,2048,1.2331049612931066e-06,9
layers.5.self_attn.k_proj.weight,5,attention,524288,0.001077778268998977,9
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.0015543944721548395,9
layers.19.input_layernorm.weight,19,norm,2048,0.0,9
layers.1.self_attn.v_proj.bias,1,attention,256,0.0001522841969552249,9
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.001135765029133553,9
layers.10.self_attn.k_proj.bias,10,attention,256,2.6831116366619026e-05,9
layers.23.post_attention_layernorm.weight,23,attention,2048,8.125404529166424e-07,9
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.0015682257692308727,9
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.0015973769168552815,9
layers.30.mlp.gate_proj.weight,30,ffn,22544384,0.0015673202793244961,9
layers.33.mlp.gate_proj.weight,33,ffn,22544384,0.0015497844930701889,9
layers.18.self_attn.k_proj.bias,18,attention,256,5.2748008782019325e-06,9
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.0013907834785342472,9
layers.10.input_layernorm.weight,10,norm,2048,1.0696372223885406e-06,9
layers.19.self_attn.o_proj.weight,19,attention,4194304,0.0017952623039360876,9
layers.5.self_attn.q_proj.weight,5,attention,4194304,0.0011814871234220661,9
layers.33.self_attn.k_proj.bias,33,attention,256,1.23405585104821e-05,9
layers.30.self_attn.k_proj.weight,30,attention,524288,0.0021286494077375844,9
layers.21.post_attention_layernorm.weight,21,attention,2048,7.742067078268455e-07,9
layers.8.self_attn.v_proj.bias,8,attention,256,0.0007862958248903517,9
layers.1.self_attn.q_proj.bias,1,attention,2048,1.2501674008128928e-05,9
layers.1.self_attn.v_proj.weight,1,attention,524288,0.00187590071661053,9
layers.31.input_layernorm.weight,31,norm,2048,0.0,9
layers.4.mlp.up_proj.weight,4,ffn,22544384,0.0012732771771708973,9
layers.31.self_attn.k_proj.weight,31,attention,524288,0.002133063966144671,9
layers.8.self_attn.q_proj.weight,8,attention,4194304,0.0012748535226824514,9
layers.27.self_attn.o_proj.weight,27,attention,4194304,0.0016279974787593398,9
layers.20.input_layernorm.weight,20,norm,2048,0.0,9
layers.3.self_attn.q_proj.bias,3,attention,2048,8.744139417557666e-06,9
layers.6.self_attn.k_proj.weight,6,attention,524288,0.001045821654033918,9
layers.5.self_attn.v_proj.bias,5,attention,256,0.000339663146664298,9
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.0012058360778533937,9
layers.10.mlp.gate_proj.weight,10,ffn,22544384,0.0011195527286469696,9
layers.35.mlp.up_proj.weight,35,ffn,22544384,0.0012477292570869532,9
layers.15.self_attn.q_proj.bias,15,attention,2048,7.347553172550354e-06,9
layers.7.mlp.down_proj.weight,7,ffn,22544384,0.0013095019991448751,9
layers.31.mlp.down_proj.weight,31,ffn,22544384,0.001371820444733908,9
layers.34.self_attn.q_proj.weight,34,attention,4194304,0.0018384513000896043,9
layers.10.self_attn.v_proj.bias,10,attention,256,0.0003238543250871482,9
layers.14.post_attention_layernorm.weight,14,attention,2048,8.732230726614265e-07,9
layers.21.self_attn.k_proj.bias,21,attention,256,5.2185593147197196e-06,9
layers.12.post_attention_layernorm.weight,12,attention,2048,5.266345682348332e-07,9
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.0013490263484572805,9
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.0010715984557277765,9
layers.10.self_attn.q_proj.bias,10,attention,2048,6.3881877857782845e-06,9
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0014071530355450079,9
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.0013534780147981197,9
layers.26.post_attention_layernorm.weight,26,attention,2048,2.4025932726650617e-06,9
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.0015451650091434005,9
layers.15.self_attn.v_proj.bias,15,attention,256,0.00021689244894474306,9
layers.24.mlp.gate_proj.weight,24,ffn,22544384,0.001659179433135136,9
layers.8.mlp.gate_proj.weight,8,ffn,22544384,0.0011152707618399423,9
embed_tokens.weight,-1,embedding,311164928,0.00041915453317240047,9
layers.15.mlp.down_proj.weight,15,ffn,22544384,0.0014752683323651535,9
layers.27.mlp.down_proj.weight,27,ffn,22544384,0.0015133008940299486,9
layers.28.self_attn.q_proj.bias,28,attention,2048,9.546258187884809e-06,9
layers.23.self_attn.v_proj.weight,23,attention,524288,0.0017801833202675543,9
layers.2.self_attn.k_proj.bias,2,attention,256,0.0,9
layers.2.self_attn.q_proj.bias,2,attention,2048,1.5444750831085063e-05,9
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.0012095977800287957,9
layers.31.self_attn.q_proj.weight,31,attention,4194304,0.0016404304736180016,9
layers.29.input_layernorm.weight,29,norm,2048,5.515951247298208e-07,9
layers.17.post_attention_layernorm.weight,17,attention,2048,1.4388517812334314e-07,9
