layer,weighted_avg_diff,total_params,max_diff
0,0.15027853256397664,77076992,0.16290062310571374
1,0.09330317940560653,77076992,0.1805625323228905
2,0.14065429603745627,77076992,0.17700783361124803
3,0.14400915995857502,77076992,0.20662824288194662
4,0.14197410314236938,77076992,0.16344381145257275
5,0.13790317887050552,77076992,0.17209072594702438
6,0.1390264483000356,77076992,0.15173437359987973
7,0.14650353604462082,77076992,0.17274914814243217
8,0.14873145883727837,77076992,0.1706398190995996
9,0.14959841296650178,77076992,0.15969121251575902
10,0.15133011018461232,77076992,0.1711484255625178
11,0.1501537809343255,77076992,0.17396450894422374
12,0.14781355107080477,77076992,0.17533877176118698
13,0.15252301874871238,77076992,0.1659264181384424
14,0.15380980041570647,77076992,0.17240981127867616
15,0.15917293572119018,77076992,0.17785336212124372
16,0.16618506326171786,77076992,0.18274736445894732
17,0.17270765105771213,77076992,0.18891688146121755
18,0.17477203635952585,77076992,0.19192758348639344
19,0.18214667967200712,77076992,0.20104211173612344
20,0.17624689448479858,77076992,0.19895495291104215
21,0.1799349893937558,77076992,0.19739083346758868
22,0.18295439981594885,77076992,0.2014917771249521
23,0.1867013264129776,77076992,0.206009689254382
24,0.1868185876357009,77076992,0.20680520136431063
25,0.18710593591638647,77076992,0.20560158973227088
26,0.18275510037716744,77076992,0.206790759743052
27,0.18183605603148495,77076992,0.20410116993403474
28,0.18082261733037225,77076992,0.20053225182376092
29,0.18157144056751248,77076992,0.20241352992336037
30,0.17971012302605285,77076992,0.2077307358157713
31,0.17548358253447302,77076992,0.20111923033333756
32,0.1759608231370689,77076992,0.22061403093198179
33,0.17299584563921205,77076992,0.2413577878378899
34,0.16825985642234562,77076992,0.22336520079842073
35,0.14931710290313363,77076992,0.2241977498598413
