layer,weighted_avg_diff,total_params,max_diff
0,0.000516588879586686,77076992,0.0009673969706905456
1,0.0005616434025848913,77076992,0.0008366121059967542
2,0.0007552206735433512,77076992,0.0009764795256763262
3,0.0006397269904925192,77076992,0.0009298121488920777
4,0.000718651146810508,77076992,0.0008024675393082355
5,0.0005779634814586827,77076992,0.0006936533562678329
6,0.000531423751526339,77076992,0.0006421162854690938
7,0.0005540008548118935,77076992,0.0005861870532448165
8,0.0005156916632798695,77076992,0.0005674999540922957
9,0.0005221908658401966,77076992,0.0005829179568676414
10,0.0005339789955265266,77076992,0.0005972354648194926
11,0.0005331991890512496,77076992,0.0005822377475437794
12,0.0005339733996808333,77076992,0.0005896510353003249
13,0.0005337014396951379,77076992,0.0006904558789569001
14,0.0005392775945440124,77076992,0.0006063695395862998
15,0.0005476920060156903,77076992,0.0006407306562911533
16,0.0005639831219129444,77076992,0.0006174813111966386
17,0.0005868419613312483,77076992,0.0006818871853924671
18,0.0005913148750897325,77076992,0.0006624347902008638
19,0.0006097646254466409,77076992,0.000744623622072882
20,0.0006019017081937471,77076992,0.0006664826596831027
21,0.0006020802574190154,77076992,0.000671564779219677
22,0.0006031106375591249,77076992,0.0006472001295191671
23,0.0006197538838503673,77076992,0.0007374271202740632
24,0.0006252942865253634,77076992,0.000676652992351172
25,0.0006211457084541497,77076992,0.000846746484200645
26,0.000600747740947668,77076992,0.000648568426032605
27,0.000595169262513308,77076992,0.0008053589410970943
28,0.0005804562433350027,77076992,0.0007262229663718007
29,0.0005812029112653623,77076992,0.0007754573858327313
30,0.0005795503357180628,77076992,0.0008464342514377456
31,0.0005704359722725983,77076992,0.0008184924315800895
32,0.0005520336303786696,77076992,0.0009743458929593286
33,0.0005458706951172697,77076992,0.0010213569455372084
34,0.0005551958915653328,77076992,0.0009081658635317858
35,0.0005802270027696113,77076992,0.0008913412080366893
