component,weighted_avg_diff,total_params,max_diff,param_percentage
attention,0.0014809600475434975,339904512,0.002476380356926698,11.014622983980685
ffn,0.0013895082080595958,2434793472,0.0016433196210055667,78.89960618686148
embedding,0.000409669361677202,311164928,0.000409669361677202,10.083315304027193
norm,2.1235065040908713e-06,75776,2.2658938071820667e-05,0.0024555251306405735
