layer,weighted_avg_diff,total_params,max_diff
0,0.0012834965280646609,77076992,0.00217868577508445
1,0.0008587578997384828,77076992,0.001875644976593241
2,0.0011049161860736132,77076992,0.0017298607623854386
3,0.0012217475119357145,77076992,0.002171778041482711
4,0.0012945112252227395,77076992,0.0015681122538105804
5,0.0012291591421732945,77076992,0.0015857529334241491
6,0.0011894545615581283,77076992,0.0015656095711212828
7,0.001266742717824052,77076992,0.0014039906850749223
8,0.001292026926019615,77076992,0.0013929891042845338
9,0.001318872891431812,77076992,0.0014493872115608636
10,0.001352648369377918,77076992,0.0014966028276881922
11,0.0013807499290635161,77076992,0.0014919007532823553
12,0.0013759512501602723,77076992,0.0014970624724945899
13,0.0014109779270392844,77076992,0.0018123361519757153
14,0.001433329766817976,77076992,0.0015583126486947596
15,0.0014691268584468772,77076992,0.0016373572962218494
16,0.0015080537758886637,77076992,0.0016138001787496825
17,0.001542744390564722,77076992,0.00168603660790426
18,0.0015604499630278948,77076992,0.0016408572338343717
19,0.0015997411722464164,77076992,0.0019051467312553498
20,0.0015722059707490865,77076992,0.0016938244427503286
21,0.001589106855229323,77076992,0.0016752487662534913
22,0.0015992281305217606,77076992,0.0016905037123859077
23,0.001616917011209252,77076992,0.0017802396330026744
24,0.0016129491109199874,77076992,0.0016618628190014388
25,0.0016036476743439263,77076992,0.0020693027236553547
26,0.0015756877248297714,77076992,0.0017120862272273205
27,0.0015467585272256033,77076992,0.001967660673078848
28,0.0015228133842556286,77076992,0.0018643117274997746
29,0.0015004177512289454,77076992,0.001865280334030981
30,0.001480004734536011,77076992,0.0021313442547442876
31,0.0014514643764938196,77076992,0.002135996721224933
32,0.0014162230602886398,77076992,0.0022634239514596074
33,0.0013885338734671371,77076992,0.002493164994289248
34,0.0013836944415151098,77076992,0.0022154790488149475
35,0.0013629405311126124,77076992,0.0022352489339724706
