param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.21.self_attn.k_proj.weight,21,attention,524288,0.1485666266946807,1
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.12399791241638601,1
layers.34.self_attn.o_proj.weight,34,attention,4194304,0.13711761538747622,1
layers.27.post_attention_layernorm.weight,27,attention,2048,0.005630223112097221,1
layers.2.self_attn.k_proj.bias,2,attention,256,0.004359646532038486,1
layers.35.mlp.gate_proj.weight,35,ffn,22544384,0.1648457082059513,1
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.14593389772997445,1
layers.15.input_layernorm.weight,15,norm,2048,0.005630035915100383,1
layers.21.self_attn.k_proj.bias,21,attention,256,0.007216399223341402,1
layers.10.self_attn.v_proj.weight,10,attention,524288,0.1352457707707177,1
layers.21.mlp.up_proj.weight,21,ffn,22544384,0.16324018005492807,1
layers.32.mlp.down_proj.weight,32,ffn,22544384,0.15536680030690397,1
layers.24.self_attn.v_proj.bias,24,attention,256,0.044745935857591734,1
layers.10.self_attn.q_proj.bias,10,attention,2048,0.0018952249235542657,1
layers.15.self_attn.o_proj.weight,15,attention,4194304,0.13877388160868773,1
layers.28.self_attn.k_proj.bias,28,attention,256,0.007920628680707056,1
layers.22.mlp.down_proj.weight,22,ffn,22544384,0.172639335101174,1
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.1503842881021318,1
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.15606494592507134,1
layers.22.self_attn.k_proj.bias,22,attention,256,0.011207641372298157,1
embed_tokens.weight,-1,embedding,311164928,0.11064330519117865,1
layers.12.mlp.up_proj.weight,12,ffn,22544384,0.1332144144279784,1
layers.23.self_attn.q_proj.weight,23,attention,4194304,0.1736392821822659,1
layers.9.self_attn.v_proj.weight,9,attention,524288,0.13853345411002038,1
layers.1.mlp.gate_proj.weight,1,ffn,22544384,0.08219416114117112,1
layers.7.self_attn.o_proj.weight,7,attention,4194304,0.15589689271837598,1
layers.23.mlp.down_proj.weight,23,ffn,22544384,0.17564593944057347,1
layers.20.post_attention_layernorm.weight,20,attention,2048,0.007160124041269445,1
