param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0015481514742104493,8
layers.34.self_attn.k_proj.bias,34,attention,256,1.0209225599318769e-05,8
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0014565568951271474,8
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.00147034716900046,8
layers.0.self_attn.k_proj.weight,0,attention,524288,0.00048107387226498864,8
layers.11.post_attention_layernorm.weight,11,attention,2048,1.291080735924019e-06,8
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0012339908058331113,8
layers.8.self_attn.q_proj.bias,8,attention,2048,4.06898449352313e-06,8
layers.23.self_attn.k_proj.bias,23,attention,256,1.8959963915274997e-05,8
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.0013601762095889717,8
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0016498189090093577,8
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0013634230571564383,8
layers.35.self_attn.q_proj.bias,35,attention,2048,9.240266653295374e-06,8
layers.2.input_layernorm.weight,2,norm,2048,1.2789483030720996e-05,8
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.0013639395797086563,8
layers.16.self_attn.q_proj.bias,16,attention,2048,9.045376010381921e-06,8
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0014980145708794745,8
layers.30.self_attn.k_proj.bias,30,attention,256,1.927194249220199e-05,8
layers.8.self_attn.k_proj.weight,8,attention,524288,0.001120806562255167,8
layers.30.self_attn.v_proj.bias,30,attention,256,0.0001655314464977496,8
layers.9.self_attn.k_proj.bias,9,attention,256,2.686701044625891e-05,8
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.0016935450040787752,8
layers.16.self_attn.v_proj.bias,16,attention,256,0.0005737647712216579,8
layers.18.self_attn.q_proj.bias,18,attention,2048,9.76909630748888e-06,8
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.0014547721581178515,8
layers.33.input_layernorm.weight,33,norm,2048,1.0466978229070946e-06,8
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0016391900185474596,8
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.001490101970407328,8
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.0014888564760842263,8
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.001630222127189882,8
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.001597117064598053,8
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0011622115104477392,8
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.0015422729070939953,8
layers.4.input_layernorm.weight,4,norm,2048,4.9104733206117454e-06,8
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0016836923399825272,8
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0012548245557908726,8
layers.34.self_attn.v_proj.bias,34,attention,256,8.900663594369736e-06,8
layers.20.self_attn.k_proj.weight,20,attention,524288,0.0016880927406040204,8
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.0015267293600078138,8
layers.35.input_layernorm.weight,35,norm,2048,0.0,8
layers.23.self_attn.q_proj.bias,23,attention,2048,1.0408046873943714e-05,8
layers.4.post_attention_layernorm.weight,4,attention,2048,1.1379657181425536e-06,8
layers.5.self_attn.k_proj.weight,5,attention,524288,0.0010739452087145127,8
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.0015489383191903386,8
layers.19.input_layernorm.weight,19,norm,2048,0.0,8
layers.1.self_attn.v_proj.bias,1,attention,256,0.0001699597019793573,8
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.001131291817036245,8
layers.10.self_attn.k_proj.bias,10,attention,256,2.6831116366619026e-05,8
layers.23.post_attention_layernorm.weight,23,attention,2048,9.384692315974503e-07,8
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.0015648452784214671,8
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.0015933161130525864,8
layers.30.mlp.gate_proj.weight,30,ffn,22544384,0.001563703701405609,8
layers.33.mlp.gate_proj.weight,33,ffn,22544384,0.0015468253116949033,8
layers.18.self_attn.k_proj.bias,18,attention,256,5.3403288615641e-06,8
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.001387278163978642,8
layers.10.input_layernorm.weight,10,norm,2048,1.0892930265120579e-06,8
layers.19.self_attn.o_proj.weight,19,attention,4194304,0.0017915041860871676,8
layers.5.self_attn.q_proj.weight,5,attention,4194304,0.001175496453080048,8
layers.33.self_attn.k_proj.bias,33,attention,256,1.2893767315680211e-05,8
layers.30.self_attn.k_proj.weight,30,attention,524288,0.002124962954583437,8
layers.21.post_attention_layernorm.weight,21,attention,2048,9.272119860534948e-07,8
layers.8.self_attn.v_proj.bias,8,attention,256,0.0008269735762010898,8
layers.1.self_attn.q_proj.bias,1,attention,2048,1.259991005375837e-05,8
layers.1.self_attn.v_proj.weight,1,attention,524288,0.0018682884769465147,8
layers.31.input_layernorm.weight,31,norm,2048,0.0,8
layers.4.mlp.up_proj.weight,4,ffn,22544384,0.0012688260303154626,8
layers.31.self_attn.k_proj.weight,31,attention,524288,0.0021294318179921386,8
layers.8.self_attn.q_proj.weight,8,attention,4194304,0.0012702957759002224,8
layers.27.self_attn.o_proj.weight,27,attention,4194304,0.001625930666334531,8
layers.20.input_layernorm.weight,20,norm,2048,0.0,8
layers.3.self_attn.q_proj.bias,3,attention,2048,8.743497946895012e-06,8
layers.6.self_attn.k_proj.weight,6,attention,524288,0.0010421504691020492,8
layers.5.self_attn.v_proj.bias,5,attention,256,0.00035487294899196503,8
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.001203791754658743,8
layers.10.mlp.gate_proj.weight,10,ffn,22544384,0.0011156370391320247,8
layers.35.mlp.up_proj.weight,35,ffn,22544384,0.0012468855415847897,8
layers.15.self_attn.q_proj.bias,15,attention,2048,7.36954045968162e-06,8
layers.7.mlp.down_proj.weight,7,ffn,22544384,0.0013070213467380467,8
layers.31.mlp.down_proj.weight,31,ffn,22544384,0.0013708233518893876,8
layers.34.self_attn.q_proj.weight,34,attention,4194304,0.001835006882133196,8
layers.10.self_attn.v_proj.bias,10,attention,256,0.00033538497548820534,8
layers.14.post_attention_layernorm.weight,14,attention,2048,9.550877357234352e-07,8
layers.21.self_attn.k_proj.bias,21,attention,256,5.029365214784895e-06,8
layers.12.post_attention_layernorm.weight,12,attention,2048,6.269459145652776e-07,8
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.0013444029892713504,8
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.0010697242696824378,8
layers.10.self_attn.q_proj.bias,10,attention,2048,6.730660562806529e-06,8
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0014023333629312555,8
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.0013500094925090209,8
layers.26.post_attention_layernorm.weight,26,attention,2048,2.365736067226356e-06,8
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.0015395951575646735,8
layers.15.self_attn.v_proj.bias,15,attention,256,0.00024104963398778373,8
layers.24.mlp.gate_proj.weight,24,ffn,22544384,0.0016532065644437133,8
layers.8.mlp.gate_proj.weight,8,ffn,22544384,0.0011116381952875297,8
embed_tokens.weight,-1,embedding,311164928,0.0004164337320062395,8
layers.15.mlp.down_proj.weight,15,ffn,22544384,0.0014708937840818455,8
layers.27.mlp.down_proj.weight,27,ffn,22544384,0.001510580359852176,8
layers.28.self_attn.q_proj.bias,28,attention,2048,9.221995367399308e-06,8
layers.23.self_attn.v_proj.weight,23,attention,524288,0.0017762957656588306,8
layers.2.self_attn.k_proj.bias,2,attention,256,0.0,8
layers.2.self_attn.q_proj.bias,2,attention,2048,1.5438005233592145e-05,8
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.0012053964128460322,8
layers.31.self_attn.q_proj.weight,31,attention,4194304,0.0016348760645135886,8
layers.29.input_layernorm.weight,29,norm,2048,6.117691383367103e-07,8
layers.17.post_attention_layernorm.weight,17,attention,2048,1.308047073848574e-07,8
layers.35.self_attn.q_proj.weight,35,attention,4194304,0.0018368713125709974,8
layers.12.mlp.down_proj.weight,12,ffn,22544384,0.0014942316073874326,8
layers.11.self_attn.v_proj.weight,11,attention,524288,0.0013191851245473165,8
layers.24.self_attn.v_proj.bias,24,attention,256,0.0004986423079740667,8
layers.14.self_attn.k_proj.bias,14,attention,256,2.197257080563125e-05,8
layers.15.mlp.up_proj.weight,15,ffn,22544384,0.0014171769180846652,8
layers.25.post_attention_layernorm.weight,25,attention,2048,1.2301690593561673e-07,8
layers.24.self_attn.q_proj.weight,24,attention,4194304,0.0015856322321945342,8
layers.16.self_attn.k_proj.bias,16,attention,256,5.849736200165205e-06,8
layers.2.self_attn.o_proj.weight,2,attention,4194304,0.0015004460236802488,8
layers.17.self_attn.k_proj.bias,17,attention,256,3.937325000563148e-05,8
layers.13.self_attn.v_proj.bias,13,attention,256,0.00026508658299468366,8
layers.21.mlp.up_proj.weight,21,ffn,22544384,0.0015598151139585292,8
layers.24.self_attn.q_proj.bias,24,attention,2048,7.623044592013822e-06,8
layers.4.self_attn.v_proj.weight,4,attention,524288,0.0015657631807430234,8
layers.17.self_attn.q_proj.weight,17,attention,4194304,0.0015155496369173838,8
layers.1.self_attn.o_proj.weight,1,attention,4194304,0.0014914007695174941,8
layers.3.self_attn.v_proj.weight,3,attention,524288,0.0021673683036846315,8
layers.10.self_attn.k_proj.weight,10,attention,524288,0.0013181830446785652,8
layers.22.self_attn.q_proj.bias,22,attention,2048,9.380532288191095e-06,8
layers.21.self_attn.k_proj.weight,21,attention,524288,0.0015588674997687349,8
layers.20.mlp.gate_proj.weight,20,ffn,22544384,0.0015905603319294765,8
layers.7.input_layernorm.weight,7,norm,2048,2.786439971352089e-06,8
layers.7.self_attn.o_proj.weight,7,attention,4194304,0.001401960401101908,8
layers.28.input_layernorm.weight,28,norm,2048,0.0,8
layers.14.mlp.down_proj.weight,14,ffn,22544384,0.001469293165348766,8
layers.12.self_attn.q_proj.bias,12,attention,2048,6.132622353871437e-06,8
layers.16.mlp.up_proj.weight,16,ffn,22544384,0.001485476723506059,8
layers.21.self_attn.v_proj.bias,21,attention,256,0.0004401817668877675,8
layers.31.self_attn.v_proj.weight,31,attention,524288,0.0014421639370177258,8
layers.32.mlp.down_proj.weight,32,ffn,22544384,0.0013362083957632125,8
