layer,weighted_avg_diff,total_params,max_diff
0,0.0012819854727693638,77076992,0.002178155519231746
1,0.0008588143937343596,77076992,0.00187590071661053
2,0.0011044057744805111,77076992,0.0017271570310819638
3,0.0012217470134812144,77076992,0.00217217548700401
4,0.0012939244530314681,77076992,0.001568735971581611
5,0.0012284286819326158,77076992,0.0015863791473616888
6,0.0011887566758510921,77076992,0.0015681967985786125
7,0.0012658280954061757,77076992,0.0014055309158928762
8,0.00129090342019667,77076992,0.0013918891774570865
9,0.0013180855818477214,77076992,0.0014486349701341294
10,0.0013519020848369763,77076992,0.0014960226175545872
11,0.00138055913026656,77076992,0.0014921856170129193
12,0.0013757653190859234,77076992,0.00149719985996862
13,0.0014106337719844667,77076992,0.0018144000307465623
14,0.0014326954484587917,77076992,0.0015589986538653798
15,0.0014685891320114016,77076992,0.0016387362910417688
16,0.0015072352991922792,77076992,0.0016140311569871758
17,0.0015419676570837255,77076992,0.0016851512201170257
18,0.001559649603599353,77076992,0.0016412567582093866
19,0.0015985872288506364,77076992,0.001904069901312075
20,0.0015713379523565939,77076992,0.0016939658797680928
21,0.001588142702236271,77076992,0.001675762424371215
22,0.0015982939453502772,77076992,0.0016868681933902585
23,0.001616152107459083,77076992,0.0017801833202675543
24,0.001612272428815982,77076992,0.0016621843409761112
25,0.0016029117892981718,77076992,0.002068333533775697
26,0.0015751999574585185,77076992,0.0017129890902072868
27,0.0015464173901750776,77076992,0.0019688155877098843
28,0.0015223825847344896,77076992,0.0018637986099314175
29,0.0015005242350747633,77076992,0.0018664961142633987
30,0.0014802540767422765,77076992,0.0021286494077375844
31,0.0014515355372951453,77076992,0.002133063966144671
32,0.0014165565243734332,77076992,0.002262292953660389
33,0.001389239767186949,77076992,0.0024894393159905093
34,0.0013850039704909642,77076992,0.002214490637536098
35,0.0013643638389229011,77076992,0.0022342635727006276
