param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0015529563248454885,10
layers.34.self_attn.k_proj.bias,34,attention,256,1.0209225599318769e-05,10
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0014621524964888032,10
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.0014735159276792896,10
layers.0.self_attn.k_proj.weight,0,attention,524288,0.0004910722119908131,10
layers.11.post_attention_layernorm.weight,11,attention,2048,1.1614750383286275e-06,10
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.00123573262613716,10
layers.8.self_attn.q_proj.bias,8,attention,2048,4.085317363115648e-06,10
layers.23.self_attn.k_proj.bias,23,attention,256,1.8989695031793075e-05,10
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.00135975000717729,10
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0016524333963420026,10
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0013696036048103447,10
layers.35.self_attn.q_proj.bias,35,attention,2048,9.854228105720423e-06,10
layers.2.input_layernorm.weight,2,norm,2048,1.2102415515714288e-05,10
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.001365868978122709,10
layers.16.self_attn.q_proj.bias,16,attention,2048,7.557177922594129e-06,10
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0015027319933984403,10
layers.30.self_attn.k_proj.bias,30,attention,256,1.9976914571470283e-05,10
layers.8.self_attn.k_proj.weight,8,attention,524288,0.0011266504784489355,10
layers.30.self_attn.v_proj.bias,30,attention,256,0.00014834983348206503,10
layers.9.self_attn.k_proj.bias,9,attention,256,2.3998143138206152e-05,10
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.0016940665929331415,10
layers.16.self_attn.v_proj.bias,16,attention,256,0.000592708342255102,10
layers.18.self_attn.q_proj.bias,18,attention,2048,8.948530508428387e-06,10
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.0014576393693348103,10
layers.33.input_layernorm.weight,33,norm,2048,1.055366127858706e-06,10
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0016419637641512685,10
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.0014939565271814862,10
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.0014919007532823553,10
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.0016350282693905357,10
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.0016036193545472949,10
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0011658668164364037,10
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.001544996105460215,10
layers.4.input_layernorm.weight,4,norm,2048,5.066690724690948e-06,10
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0016905037123859077,10
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0012605258496023568,10
layers.34.self_attn.v_proj.bias,34,attention,256,8.549359858229289e-06,10
layers.20.self_attn.k_proj.weight,20,attention,524288,0.0016938244427503286,10
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.0015288305462591032,10
layers.35.input_layernorm.weight,35,norm,2048,0.0,10
layers.23.self_attn.q_proj.bias,23,attention,2048,1.0237954570662839e-05,10
layers.4.post_attention_layernorm.weight,4,attention,2048,1.209544245355437e-06,10
layers.5.self_attn.k_proj.weight,5,attention,524288,0.0010780637096584583,10
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.0015558539463465413,10
layers.19.input_layernorm.weight,19,norm,2048,0.0,10
layers.1.self_attn.v_proj.bias,1,attention,256,0.00014850494589614194,10
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.0011369454501964926,10
layers.10.self_attn.k_proj.bias,10,attention,256,2.6831116366619026e-05,10
layers.23.post_attention_layernorm.weight,23,attention,2048,7.645675848477631e-07,10
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.0015678139699313342,10
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.001597733985608616,10
layers.30.mlp.gate_proj.weight,30,ffn,22544384,0.0015675919140470823,10
layers.33.mlp.gate_proj.weight,33,ffn,22544384,0.0015500347188599144,10
layers.18.self_attn.k_proj.bias,18,attention,256,5.4577963426722995e-06,10
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.0013911993824964812,10
layers.10.input_layernorm.weight,10,norm,2048,1.061335406712787e-06,10
layers.19.self_attn.o_proj.weight,19,attention,4194304,0.0017946302518294156,10
layers.5.self_attn.q_proj.weight,5,attention,4194304,0.001183267407968055,10
layers.33.self_attn.k_proj.bias,33,attention,256,1.2595029232115947e-05,10
layers.30.self_attn.k_proj.weight,30,attention,524288,0.0021313442547442876,10
layers.21.post_attention_layernorm.weight,21,attention,2048,7.742067078268455e-07,10
layers.8.self_attn.v_proj.bias,8,attention,256,0.0007191894444704886,10
layers.1.self_attn.q_proj.bias,1,attention,2048,1.1917937308700903e-05,10
layers.1.self_attn.v_proj.weight,1,attention,524288,0.001875644976593241,10
layers.31.input_layernorm.weight,31,norm,2048,0.0,10
layers.4.mlp.up_proj.weight,4,ffn,22544384,0.0012740866280936325,10
layers.31.self_attn.k_proj.weight,31,attention,524288,0.002135996721224933,10
layers.8.self_attn.q_proj.weight,8,attention,4194304,0.0012763278915838697,10
layers.27.self_attn.o_proj.weight,27,attention,4194304,0.0016270907585409448,10
layers.20.input_layernorm.weight,20,norm,2048,5.294917295451533e-07,10
layers.3.self_attn.q_proj.bias,3,attention,2048,8.708717973569387e-06,10
layers.6.self_attn.k_proj.weight,6,attention,524288,0.0010465267469679444,10
layers.5.self_attn.v_proj.bias,5,attention,256,0.0003467700351030155,10
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.0012063494298457196,10
layers.10.mlp.gate_proj.weight,10,ffn,22544384,0.001120706864408888,10
layers.35.mlp.up_proj.weight,35,ffn,22544384,0.0012459241384689484,10
layers.15.self_attn.q_proj.bias,15,attention,2048,7.455062871489914e-06,10
layers.7.mlp.down_proj.weight,7,ffn,22544384,0.0013102660830456795,10
layers.31.mlp.down_proj.weight,31,ffn,22544384,0.0013708923699292178,10
layers.34.self_attn.q_proj.weight,34,attention,4194304,0.0018387695526834041,10
layers.10.self_attn.v_proj.bias,10,attention,256,0.0003292554332878725,10
layers.14.post_attention_layernorm.weight,14,attention,2048,9.687318462337701e-07,10
layers.21.self_attn.k_proj.bias,21,attention,256,5.2185593147197196e-06,10
layers.12.post_attention_layernorm.weight,12,attention,2048,5.767902414000553e-07,10
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.0013505007023360556,10
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.0010746375508449623,10
layers.10.self_attn.q_proj.bias,10,attention,2048,6.369081453525605e-06,10
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0014083318008798222,10
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.0013544736457686798,10
layers.26.post_attention_layernorm.weight,26,attention,2048,2.30691731450552e-06,10
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.001546508977124192,10
layers.15.self_attn.v_proj.bias,15,attention,256,0.00021828051055237214,10
layers.24.mlp.gate_proj.weight,24,ffn,22544384,0.0016604430423681601,10
layers.8.mlp.gate_proj.weight,8,ffn,22544384,0.0011168498731988412,10
embed_tokens.weight,-1,embedding,311164928,0.0004207528824177321,10
layers.15.mlp.down_proj.weight,15,ffn,22544384,0.0014754169046056257,10
layers.27.mlp.down_proj.weight,27,ffn,22544384,0.0015130976233889363,10
layers.28.self_attn.q_proj.bias,28,attention,2048,9.53198960999041e-06,10
layers.23.self_attn.v_proj.weight,23,attention,524288,0.0017802396330026744,10
layers.2.self_attn.k_proj.bias,2,attention,256,0.0,10
layers.2.self_attn.q_proj.bias,2,attention,2048,1.61084435387909e-05,10
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.0012103597768374312,10
layers.31.self_attn.q_proj.weight,31,attention,4194304,0.0016425821430077667,10
layers.29.input_layernorm.weight,29,norm,2048,5.816821315332655e-07,10
layers.17.post_attention_layernorm.weight,17,attention,2048,1.7004611960031464e-07,10
layers.35.self_attn.q_proj.weight,35,attention,4194304,0.0018411697587139755,10
layers.12.mlp.down_proj.weight,12,ffn,22544384,0.0014970624724945899,10
layers.11.self_attn.v_proj.weight,11,attention,524288,0.0013223375184035404,10
layers.24.self_attn.v_proj.bias,24,attention,256,0.00044912303548733193,10
