param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0014757833031700074,5
layers.34.self_attn.k_proj.bias,34,attention,256,1.0209225599318769e-05,5
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0013849552420893997,5
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.0014088419038204667,5
layers.0.self_attn.k_proj.weight,0,attention,524288,0.0004501257543635252,5
layers.11.post_attention_layernorm.weight,11,attention,2048,1.620636443613685e-06,5
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0011686999447769499,5
layers.8.self_attn.q_proj.bias,8,attention,2048,3.6449025570958213e-06,5
layers.23.self_attn.k_proj.bias,23,attention,256,1.2890256359775344e-05,5
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.0013052742426308645,5
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0015827787172532856,5
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0012798076759931803,5
layers.35.self_attn.q_proj.bias,35,attention,2048,8.862294285422622e-06,5
layers.2.input_layernorm.weight,2,norm,2048,1.187290292261305e-05,5
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.0012883933127547584,5
layers.16.self_attn.q_proj.bias,16,attention,2048,7.804998544342027e-06,5
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.001424860282669601,5
layers.30.self_attn.k_proj.bias,30,attention,256,1.9216642980343512e-05,5
layers.8.self_attn.k_proj.weight,8,attention,524288,0.001058632703351293,5
layers.30.self_attn.v_proj.bias,30,attention,256,0.00013640203153357137,5
layers.9.self_attn.k_proj.bias,9,attention,256,2.332683671089014e-05,5
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.001622264533486507,5
layers.16.self_attn.v_proj.bias,16,attention,256,0.0005799832768385377,5
layers.18.self_attn.q_proj.bias,18,attention,2048,8.711894362540219e-06,5
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.001394240362487239,5
layers.33.input_layernorm.weight,33,norm,2048,9.470123159635618e-07,5
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0015730507808467968,5
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.0014236389243099622,5
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.0014189768931642645,5
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.0015536118589502446,5
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.0015209867090151625,5
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0010979806427518796,5
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.001478639768154331,5
layers.4.input_layernorm.weight,4,norm,2048,4.32737721993933e-06,5
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0016081856117771897,5
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0011860690630100441,5
layers.34.self_attn.v_proj.bias,34,attention,256,8.874134552792517e-06,5
layers.20.self_attn.k_proj.weight,20,attention,524288,0.0016020317166872448,5
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.001469847775233949,5
layers.35.input_layernorm.weight,35,norm,2048,0.0,5
layers.23.self_attn.q_proj.bias,23,attention,2048,1.0217811802239154e-05,5
layers.4.post_attention_layernorm.weight,4,attention,2048,1.6541111270255169e-06,5
layers.5.self_attn.k_proj.weight,5,attention,524288,0.0010199488596486098,5
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.0014780824204140939,5
layers.19.input_layernorm.weight,19,norm,2048,0.0,5
layers.1.self_attn.v_proj.bias,1,attention,256,0.0001593443865248517,5
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.0010603903472067504,5
layers.10.self_attn.k_proj.bias,10,attention,256,2.120499365778387e-05,5
layers.23.post_attention_layernorm.weight,23,attention,2048,1.1243640953643574e-06,5
