param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.16.self_attn.o_proj.weight,16,attention,2359296,0.0009473440236923923,0
layers.11.self_attn.q_proj.bias,11,attention,1536,3.3060438073198436e-05,0
layers.3.self_attn.k_proj.weight,3,attention,393216,0.0010306158450257188,0
layers.12.self_attn.v_proj.bias,12,attention,256,0.0013583532791727297,0
layers.0.mlp.down_proj.weight,0,ffn,13762560,0.001311684870856635,0
layers.11.self_attn.k_proj.bias,11,attention,256,5.9814464090512534e-05,0
layers.23.self_attn.o_proj.weight,23,attention,2359296,0.0009233133022739785,0
layers.6.self_attn.v_proj.weight,6,attention,393216,0.0013489323920941152,0
layers.1.self_attn.k_proj.bias,1,attention,256,5.071881974120374e-06,0
layers.7.self_attn.k_proj.bias,7,attention,256,1.214633391710308e-05,0
layers.25.mlp.gate_proj.weight,25,ffn,13762560,0.001216794048804406,0
layers.23.input_layernorm.weight,23,norm,1536,7.905539141815006e-05,0
layers.4.self_attn.v_proj.weight,4,attention,393216,0.001279387988382457,0
layers.14.self_attn.q_proj.weight,14,attention,2359296,0.0011903162031932201,0
layers.25.self_attn.v_proj.weight,25,attention,393216,0.0016646822315575795,0
layers.1.mlp.up_proj.weight,1,ffn,13762560,0.0013430054826520613,0
layers.8.self_attn.q_proj.bias,8,attention,1536,3.479183982284979e-05,0
layers.1.mlp.gate_proj.weight,1,ffn,13762560,0.0011484676767091774,0
layers.13.self_attn.q_proj.weight,13,attention,2359296,0.0011222417286555065,0
layers.12.self_attn.q_proj.weight,12,attention,2359296,0.0011405693371209225,0
layers.2.self_attn.q_proj.bias,2,attention,1536,3.336451465859372e-05,0
layers.16.self_attn.v_proj.weight,16,attention,393216,0.0013115597794145543,0
layers.18.post_attention_layernorm.weight,18,attention,1536,7.885972316648798e-05,0
layers.18.self_attn.o_proj.weight,18,attention,2359296,0.000926801657953255,0
layers.12.mlp.down_proj.weight,12,ffn,13762560,0.0013061256181110367,0
layers.0.self_attn.o_proj.weight,0,attention,2359296,0.0010716921608380152,0
layers.8.self_attn.o_proj.weight,8,attention,2359296,0.000937641960685359,0
