param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.0012524969215953953,3
layers.34.self_attn.k_proj.bias,34,attention,256,1.0209225599318769e-05,3
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0011863690765749038,3
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.0011983650514158502,3
layers.0.self_attn.k_proj.weight,0,attention,524288,0.00035827806485908795,3
layers.11.post_attention_layernorm.weight,11,attention,2048,1.0617918540857691e-06,3
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0009584030694587815,3
layers.8.self_attn.q_proj.bias,8,attention,2048,2.3668611102394413e-06,3
layers.23.self_attn.k_proj.bias,23,attention,256,1.3342510717955408e-05,3
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.0011001469783760366,3
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.0013529610207095918,3
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.001032027426260074,3
layers.35.self_attn.q_proj.bias,35,attention,2048,6.981539200676973e-06,3
layers.2.input_layernorm.weight,2,norm,2048,9.805898683586209e-06,3
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.001053388559848234,3
layers.16.self_attn.q_proj.bias,16,attention,2048,7.306403980325019e-06,3
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0011937559831578643,3
layers.30.self_attn.k_proj.bias,30,attention,256,2.1688220617191968e-05,3
layers.8.self_attn.k_proj.weight,8,attention,524288,0.000870593442386552,3
layers.30.self_attn.v_proj.bias,30,attention,256,0.00013286601561888592,3
layers.9.self_attn.k_proj.bias,9,attention,256,1.970598340519155e-05,3
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.001369681843434877,3
layers.16.self_attn.v_proj.bias,16,attention,256,0.0005227518842817181,3
layers.18.self_attn.q_proj.bias,18,attention,2048,8.699492523764055e-06,3
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.0011858973137945786,3
layers.33.input_layernorm.weight,33,norm,2048,1.1680540922296563e-06,3
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.0013514242766821305,3
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.0012101204618094892,3
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.001184393242422974,3
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.001317883328351144,3
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.0012863999569777973,3
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0008915914598217464,3
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.0012607625296704964,3
layers.4.input_layernorm.weight,4,norm,2048,3.4842616367659537e-06,3
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0013792802340600774,3
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0009616362416402664,3
layers.34.self_attn.v_proj.bias,34,attention,256,8.125157594721946e-06,3
layers.20.self_attn.k_proj.weight,20,attention,524288,0.0013911069865444037,3
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.001267601470305882,3
layers.35.input_layernorm.weight,35,norm,2048,0.0,3
layers.23.self_attn.q_proj.bias,23,attention,2048,8.44388732808097e-06,3
layers.4.post_attention_layernorm.weight,4,attention,2048,8.393420980870627e-07,3
layers.5.self_attn.k_proj.weight,5,attention,524288,0.0008635400145449075,3
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.0012572192255310324,3
layers.19.input_layernorm.weight,19,norm,2048,0.0,3
layers.1.self_attn.v_proj.bias,1,attention,256,0.00011863900645855843,3
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.0008487244681035329,3
layers.10.self_attn.k_proj.bias,10,attention,256,1.6153569409263795e-05,3
layers.23.post_attention_layernorm.weight,23,attention,2048,3.3880838073645973e-07,3
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.0012356962001115902,3
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.0012865940539381864,3
layers.30.mlp.gate_proj.weight,30,ffn,22544384,0.0012586540837831567,3
layers.33.mlp.gate_proj.weight,33,ffn,22544384,0.001243434323212836,3
layers.18.self_attn.k_proj.bias,18,attention,256,3.366599782551325e-06,3
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.0010767793826952654,3
layers.10.input_layernorm.weight,10,norm,2048,1.5565312140535134e-06,3
layers.19.self_attn.o_proj.weight,19,attention,4194304,0.0014747657150064582,3
layers.5.self_attn.q_proj.weight,5,attention,4194304,0.0009018007604889565,3
layers.33.self_attn.k_proj.bias,33,attention,256,1.3149597085291002e-05,3
layers.30.self_attn.k_proj.weight,30,attention,524288,0.0017881609756856508,3
layers.21.post_attention_layernorm.weight,21,attention,2048,7.986875523431095e-07,3
layers.8.self_attn.v_proj.bias,8,attention,256,0.0008224170624802241,3
layers.1.self_attn.q_proj.bias,1,attention,2048,8.368056632768413e-06,3
layers.1.self_attn.v_proj.weight,1,attention,524288,0.0014610766036268858,3
layers.31.input_layernorm.weight,31,norm,2048,0.0,3
layers.4.mlp.up_proj.weight,4,ffn,22544384,0.0009740288983241942,3
layers.31.self_attn.k_proj.weight,31,attention,524288,0.0017576553073826886,3
layers.8.self_attn.q_proj.weight,8,attention,4194304,0.0009796077808354815,3
layers.27.self_attn.o_proj.weight,27,attention,4194304,0.001363026472627898,3
layers.20.input_layernorm.weight,20,norm,2048,0.0,3
layers.3.self_attn.q_proj.bias,3,attention,2048,7.4025398451744425e-06,3
layers.6.self_attn.k_proj.weight,6,attention,524288,0.0008294323685922176,3
layers.5.self_attn.v_proj.bias,5,attention,256,0.00035553589496367866,3
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.0009281023829653085,3
layers.10.mlp.gate_proj.weight,10,ffn,22544384,0.0008456082071505034,3
layers.35.mlp.up_proj.weight,35,ffn,22544384,0.0010204140782058562,3
layers.15.self_attn.q_proj.bias,15,attention,2048,5.8836671668066005e-06,3
layers.7.mlp.down_proj.weight,7,ffn,22544384,0.0010180327816176062,3
layers.31.mlp.down_proj.weight,31,ffn,22544384,0.0011284529765734617,3
layers.34.self_attn.q_proj.weight,34,attention,4194304,0.0015160113242810873,3
layers.10.self_attn.v_proj.bias,10,attention,256,0.00021666598721328288,3
layers.14.post_attention_layernorm.weight,14,attention,2048,5.18476199392722e-07,3
layers.21.self_attn.k_proj.bias,21,attention,256,2.5146826073924477e-06,3
layers.12.post_attention_layernorm.weight,12,attention,2048,8.777242803913886e-08,3
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.001023202957817154,3
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.0007824450393423103,3
layers.10.self_attn.q_proj.bias,10,attention,2048,4.10931405060748e-06,3
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0011039718216355155,3
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.00104686197886899,3
layers.26.post_attention_layernorm.weight,26,attention,2048,1.7447017040829828e-06,3
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.0012244606052090842,3
layers.15.self_attn.v_proj.bias,15,attention,256,0.00023624605838072253,3
layers.24.mlp.gate_proj.weight,24,ffn,22544384,0.0013285158270241746,3
layers.8.mlp.gate_proj.weight,8,ffn,22544384,0.0008386230602346367,3
embed_tokens.weight,-1,embedding,311164928,0.000275683752962236,3
layers.15.mlp.down_proj.weight,15,ffn,22544384,0.001176233308074332,3
layers.27.mlp.down_proj.weight,27,ffn,22544384,0.0012396454077616035,3
layers.28.self_attn.q_proj.bias,28,attention,2048,7.246377371455852e-06,3
layers.23.self_attn.v_proj.weight,23,attention,524288,0.0014685848686798514,3
layers.2.self_attn.k_proj.bias,2,attention,256,0.0,3
layers.2.self_attn.q_proj.bias,2,attention,2048,1.2041587375562441e-05,3
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.0009220813464944749,3
layers.31.self_attn.q_proj.weight,31,attention,4194304,0.0013226209766000084,3
layers.29.input_layernorm.weight,29,norm,2048,8.023201814251939e-07,3
layers.17.post_attention_layernorm.weight,17,attention,2048,7.455868320936872e-07,3
layers.35.self_attn.q_proj.weight,35,attention,4194304,0.0014841437486110473,3
layers.12.mlp.down_proj.weight,12,ffn,22544384,0.0011893575433200665,3
layers.11.self_attn.v_proj.weight,11,attention,524288,0.0010441535714485334,3
layers.24.self_attn.v_proj.bias,24,attention,256,0.0004491216397259892,3
layers.14.self_attn.k_proj.bias,14,attention,256,2.053431205149241e-05,3
layers.15.mlp.up_proj.weight,15,ffn,22544384,0.0011241311902216939,3
layers.25.post_attention_layernorm.weight,25,attention,2048,3.6905071780685023e-07,3
layers.24.self_attn.q_proj.weight,24,attention,4194304,0.0012788988049943324,3
layers.16.self_attn.k_proj.bias,16,attention,256,4.704874662600983e-06,3
layers.2.self_attn.o_proj.weight,2,attention,4194304,0.0011783193031385745,3
layers.17.self_attn.k_proj.bias,17,attention,256,2.383113019151378e-05,3
layers.13.self_attn.v_proj.bias,13,attention,256,0.0002098961016304021,3
layers.21.mlp.up_proj.weight,21,ffn,22544384,0.0012577277158577756,3
layers.24.self_attn.q_proj.bias,24,attention,2048,5.792887098773974e-06,3
layers.4.self_attn.v_proj.weight,4,attention,524288,0.0012292769544067193,3
layers.17.self_attn.q_proj.weight,17,attention,4194304,0.001208175703739141,3
layers.1.self_attn.o_proj.weight,1,attention,4194304,0.0011567558901122092,3
layers.3.self_attn.v_proj.weight,3,attention,524288,0.0016911594618039556,3
layers.10.self_attn.k_proj.weight,10,attention,524288,0.0010487159488401577,3
layers.22.self_attn.q_proj.bias,22,attention,2048,8.101727403705052e-06,3
layers.21.self_attn.k_proj.weight,21,attention,524288,0.0012697701734678706,3
layers.20.mlp.gate_proj.weight,20,ffn,22544384,0.0012726510880062042,3
layers.7.input_layernorm.weight,7,norm,2048,1.575698734572161e-06,3
layers.7.self_attn.o_proj.weight,7,attention,4194304,0.0011172502295561993,3
layers.28.input_layernorm.weight,28,norm,2048,0.0,3
layers.14.mlp.down_proj.weight,14,ffn,22544384,0.001173823227726333,3
layers.12.self_attn.q_proj.bias,12,attention,2048,6.349051945255241e-06,3
layers.16.mlp.up_proj.weight,16,ffn,22544384,0.0011826156229718936,3
layers.21.self_attn.v_proj.bias,21,attention,256,0.0004834881123310078,3
layers.31.self_attn.v_proj.weight,31,attention,524288,0.0011895066620839505,3
