layer,weighted_avg_diff,total_params,max_diff
0,0.001268551738947255,46797824,0.0016484763025642387
1,0.001264494568177475,46797824,0.0016105633619611273
2,0.0012423810677910806,46797824,0.002050376276849019
3,0.0012296454563878677,46797824,0.001408159958240086
4,0.0012604428735269863,46797824,0.0013904466216015888
5,0.0012531994865882339,46797824,0.0014705750125014827
6,0.0012321066898050683,46797824,0.0013489323920941152
7,0.0012076113532516533,46797824,0.0012760574265184904
8,0.0012090199012755167,46797824,0.0012778412648169278
9,0.0012118897531970374,46797824,0.0014292938601029558
10,0.001222652803591501,46797824,0.0014726577135652603
11,0.0012251988220059733,46797824,0.0013526472693943428
12,0.0012368030232196795,46797824,0.0013583532791727297
13,0.0012377231082691836,46797824,0.0017486928008740843
14,0.0012704938211417192,46797824,0.001452123641616608
15,0.0012617716639345905,46797824,0.0015087904805829036
16,0.001268136568452711,46797824,0.0013340996645051682
17,0.0012625518432077122,46797824,0.002742126474306933
18,0.0012530566685025326,46797824,0.0015355189736988033
19,0.0012584064845128956,46797824,0.0014732699562200562
20,0.0012315518212412738,46797824,0.0015411848487411795
21,0.0012347455410014398,46797824,0.0021132799592436372
22,0.0012297918009034224,46797824,0.0013578576430402817
23,0.0012409874249452461,46797824,0.0016136821245367422
24,0.0012452057728678204,46797824,0.0014905518585517144
25,0.00128291145106661,46797824,0.0016646822315575795
26,0.0013233793507198375,46797824,0.0014650401711482396
27,0.001288305757141525,46797824,0.002225627516647286
