param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.12.post_attention_layernorm.weight,12,attention,2048,4.0124538532177766e-07,4
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.0011886528316331457,4
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.0009390491128568992,4
layers.10.self_attn.q_proj.bias,10,attention,2048,5.3896515019214714e-06,4
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.001258881433014149,4
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.0012044924289808742,4
layers.26.post_attention_layernorm.weight,26,attention,2048,1.6377585173178262e-06,4
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.0013893341714123011,4
layers.15.self_attn.v_proj.bias,15,attention,256,0.00024163526719698185,4
layers.24.mlp.gate_proj.weight,24,ffn,22544384,0.0015008153644351554,4
layers.8.mlp.gate_proj.weight,8,ffn,22544384,0.0009766938469702093,4
embed_tokens.weight,-1,embedding,311164928,0.00034198914396303773,4
layers.15.mlp.down_proj.weight,15,ffn,22544384,0.001332159697156104,4
layers.27.mlp.down_proj.weight,27,ffn,22544384,0.0013909560647776143,4
layers.28.self_attn.q_proj.bias,28,attention,2048,8.413395719698313e-06,4
layers.23.self_attn.v_proj.weight,23,attention,524288,0.001638125719099948,4
layers.2.self_attn.k_proj.bias,2,attention,256,1.6251932249708383e-07,4
layers.2.self_attn.q_proj.bias,2,attention,2048,1.277813842149625e-05,4
layers.5.mlp.up_proj.weight,5,ffn,22544384,0.0010653500983204423,4
layers.31.self_attn.q_proj.weight,31,attention,4194304,0.0014811334684875668,4
layers.29.input_layernorm.weight,29,norm,2048,9.728132199780476e-07,4
layers.17.post_attention_layernorm.weight,17,attention,2048,8.633110687400589e-07,4
layers.35.self_attn.q_proj.weight,35,attention,4194304,0.0016830315662358134,4
layers.12.mlp.down_proj.weight,12,ffn,22544384,0.0013507669515180013,4
layers.11.self_attn.v_proj.weight,11,attention,524288,0.0011873428525155981,4
layers.24.self_attn.v_proj.bias,24,attention,256,0.00046196383458130085,4
layers.14.self_attn.k_proj.bias,14,attention,256,2.1839184946663885e-05,4
layers.15.mlp.up_proj.weight,15,ffn,22544384,0.0012783143149870662,4
layers.25.post_attention_layernorm.weight,25,attention,2048,3.936540989939736e-07,4
layers.24.self_attn.q_proj.weight,24,attention,4194304,0.0014449167008740856,4
layers.16.self_attn.k_proj.bias,16,attention,256,6.195656428763225e-06,4
layers.2.self_attn.o_proj.weight,2,attention,4194304,0.0013490868459617915,4
layers.17.self_attn.k_proj.bias,17,attention,256,3.3137527337585584e-05,4
layers.13.self_attn.v_proj.bias,13,attention,256,0.00018349462955511003,4
layers.21.mlp.up_proj.weight,21,ffn,22544384,0.0014194279233202503,4
layers.24.self_attn.q_proj.bias,24,attention,2048,6.360633331214477e-06,4
layers.4.self_attn.v_proj.weight,4,attention,524288,0.001400593404695548,4
layers.17.self_attn.q_proj.weight,17,attention,4194304,0.0013641509119823438,4
layers.1.self_attn.o_proj.weight,1,attention,4194304,0.0013319214850284534,4
layers.3.self_attn.v_proj.weight,3,attention,524288,0.001943115687824532,4
layers.10.self_attn.k_proj.weight,10,attention,524288,0.001188747290554424,4
layers.22.self_attn.q_proj.bias,22,attention,2048,8.160202855332016e-06,4
