param_name,layer_num,component,param_count,relative_l2_diff,model_index
layers.23.mlp.up_proj.weight,23,ffn,22544384,0.001516997328776327,6
layers.34.self_attn.k_proj.bias,34,attention,256,1.0209225599318769e-05,6
layers.17.self_attn.k_proj.weight,17,attention,524288,0.0014172804028905282,6
layers.27.mlp.up_proj.weight,27,ffn,22544384,0.0014442135440417886,6
layers.0.self_attn.k_proj.weight,0,attention,524288,0.0004781905886244721,6
layers.11.post_attention_layernorm.weight,11,attention,2048,1.6008649206534275e-06,6
layers.3.mlp.down_proj.weight,3,ffn,22544384,0.0012075547327695107,6
layers.8.self_attn.q_proj.bias,8,attention,2048,4.507206062937287e-06,6
layers.23.self_attn.k_proj.bias,23,attention,256,1.250507606294204e-05,6
layers.12.self_attn.o_proj.weight,12,attention,4194304,0.001339317635464839,6
layers.22.self_attn.o_proj.weight,22,attention,4194304,0.001619818082037161,6
layers.0.mlp.up_proj.weight,0,ffn,22544384,0.0013281272433806224,6
layers.35.self_attn.q_proj.bias,35,attention,2048,9.15185958719653e-06,6
layers.2.input_layernorm.weight,2,norm,2048,1.229026734769188e-05,6
layers.4.mlp.down_proj.weight,4,ffn,22544384,0.001333690396374131,6
layers.16.self_attn.q_proj.bias,16,attention,2048,9.505001273008332e-06,6
layers.17.mlp.up_proj.weight,17,ffn,22544384,0.0014654380778273389,6
layers.30.self_attn.k_proj.bias,30,attention,256,2.0939263262225642e-05,6
layers.8.self_attn.k_proj.weight,8,attention,524288,0.001090505015966988,6
layers.30.self_attn.v_proj.bias,30,attention,256,0.00015715226256652972,6
layers.9.self_attn.k_proj.bias,9,attention,256,2.2891801459919916e-05,6
layers.13.self_attn.o_proj.weight,13,attention,4194304,0.0016603032635085118,6
layers.16.self_attn.v_proj.bias,16,attention,256,0.0005801342033026218,6
layers.18.self_attn.q_proj.bias,18,attention,2048,8.533606967988968e-06,6
layers.28.mlp.up_proj.weight,28,ffn,22544384,0.001429399136436461,6
layers.33.input_layernorm.weight,33,norm,2048,1.1333808724232102e-06,6
layers.26.self_attn.o_proj.weight,26,attention,4194304,0.001612406240268322,6
layers.26.mlp.up_proj.weight,26,ffn,22544384,0.0014621631689227333,6
layers.11.mlp.down_proj.weight,11,ffn,22544384,0.0014573505474838441,6
layers.21.self_attn.q_proj.weight,21,attention,4194304,0.0015953037314861583,6
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.0015636488648701585,6
layers.6.mlp.up_proj.weight,6,ffn,22544384,0.0011346024915745365,6
layers.26.mlp.down_proj.weight,26,ffn,22544384,0.001516038351091688,6
layers.4.input_layernorm.weight,4,norm,2048,5.182599877256446e-06,6
layers.22.self_attn.k_proj.weight,22,attention,524288,0.0016514978039254273,6
layers.9.self_attn.q_proj.weight,9,attention,4194304,0.0012213694479218439,6
layers.34.self_attn.v_proj.bias,34,attention,256,9.382123881083962e-06,6
layers.20.self_attn.k_proj.weight,20,attention,524288,0.0016512641860308317,6
layers.31.self_attn.o_proj.weight,31,attention,4194304,0.0015043938378888095,6
layers.35.input_layernorm.weight,35,norm,2048,0.0,6
layers.23.self_attn.q_proj.bias,23,attention,2048,1.0251653405669024e-05,6
layers.4.post_attention_layernorm.weight,4,attention,2048,1.27121853639258e-06,6
layers.5.self_attn.k_proj.weight,5,attention,524288,0.0010439630086886886,6
layers.19.self_attn.q_proj.weight,19,attention,4194304,0.001515420971312249,6
layers.19.input_layernorm.weight,19,norm,2048,0.0,6
layers.1.self_attn.v_proj.bias,1,attention,256,0.0001619114034197385,6
layers.6.mlp.gate_proj.weight,6,ffn,22544384,0.0011002178180688836,6
layers.10.self_attn.k_proj.bias,10,attention,256,2.461195870686421e-05,6
layers.23.post_attention_layernorm.weight,23,attention,2048,1.3282487846570943e-06,6
layers.4.self_attn.o_proj.weight,4,attention,4194304,0.0015313245040596086,6
layers.18.mlp.down_proj.weight,18,ffn,22544384,0.0015618671305660699,6
layers.30.mlp.gate_proj.weight,30,ffn,22544384,0.001533436207904363,6
layers.33.mlp.gate_proj.weight,33,ffn,22544384,0.001517147536021087,6
layers.18.self_attn.k_proj.bias,18,attention,256,5.0852249137125776e-06,6
layers.9.mlp.up_proj.weight,9,ffn,22544384,0.0013536433930479513,6
layers.10.input_layernorm.weight,10,norm,2048,9.07525582838776e-07,6
layers.19.self_attn.o_proj.weight,19,attention,4194304,0.0017607655901529457,6
layers.5.self_attn.q_proj.weight,5,attention,4194304,0.0011375126822118994,6
layers.33.self_attn.k_proj.bias,33,attention,256,9.885292766219919e-06,6
layers.30.self_attn.k_proj.weight,30,attention,524288,0.002091223957814625,6
layers.21.post_attention_layernorm.weight,21,attention,2048,9.02731141537231e-07,6
layers.8.self_attn.v_proj.bias,8,attention,256,0.0007377336920070714,6
layers.1.self_attn.q_proj.bias,1,attention,2048,1.1266700326640367e-05,6
layers.1.self_attn.v_proj.weight,1,attention,524288,0.0018287972819648792,6
layers.31.input_layernorm.weight,31,norm,2048,0.0,6
layers.4.mlp.up_proj.weight,4,ffn,22544384,0.0012347354201351377,6
layers.31.self_attn.k_proj.weight,31,attention,524288,0.0020959422973606703,6
layers.8.self_attn.q_proj.weight,8,attention,4194304,0.0012402905206244641,6
layers.27.self_attn.o_proj.weight,27,attention,4194304,0.0016033976949630657,6
layers.20.input_layernorm.weight,20,norm,2048,0.0,6
layers.3.self_attn.q_proj.bias,3,attention,2048,8.678327357586899e-06,6
layers.6.self_attn.k_proj.weight,6,attention,524288,0.0010139871196570562,6
layers.5.self_attn.v_proj.bias,5,attention,256,0.00035969352409389877,6
layers.6.mlp.down_proj.weight,6,ffn,22544384,0.0011745234730560397,6
layers.10.mlp.gate_proj.weight,10,ffn,22544384,0.0010834015727882284,6
layers.35.mlp.up_proj.weight,35,ffn,22544384,0.0012310874462296488,6
layers.15.self_attn.q_proj.bias,15,attention,2048,8.28156298469498e-06,6
layers.7.mlp.down_proj.weight,7,ffn,22544384,0.001276659848603457,6
layers.31.mlp.down_proj.weight,31,ffn,22544384,0.0013487859605604226,6
layers.34.self_attn.q_proj.weight,34,attention,4194304,0.0018094581997658433,6
layers.10.self_attn.v_proj.bias,10,attention,256,0.0003450867596700603,6
layers.14.post_attention_layernorm.weight,14,attention,2048,7.094937465374091e-07,6
layers.21.self_attn.k_proj.bias,21,attention,256,5.376221339179145e-06,6
layers.12.post_attention_layernorm.weight,12,attention,2048,6.645626694391943e-07,6
layers.0.mlp.down_proj.weight,0,ffn,22544384,0.0013097426966204898,6
layers.2.self_attn.q_proj.weight,2,attention,4194304,0.0010420598235667982,6
layers.10.self_attn.q_proj.bias,10,attention,2048,5.753888871606844e-06,6
layers.14.mlp.gate_proj.weight,14,ffn,22544384,0.0013679952271229566,6
layers.8.mlp.up_proj.weight,8,ffn,22544384,0.0013188465396698752,6
layers.26.post_attention_layernorm.weight,26,attention,2048,2.2320570837699106e-06,6
layers.18.mlp.gate_proj.weight,18,ffn,22544384,0.0015025145337003358,6
layers.15.self_attn.v_proj.bias,15,attention,256,0.00027316866409264607,6
